Nombre del Curso,Cantidad de Alumnos,Rut,Nombre Alumno,Apellido Alumno
Septimo Basico A,10,90123458-8,Luciana,Martinez
Septimo Basico B,10,12349876-9,Benjamin,Silva
Septimo Basico B,10,98764321-1,Isabel,Morales
Septimo Basico B,10,23458967-0,Santiago,Perez
Septimo Basico B,10,34567892-2,Camila,Fernandez
Septimo Basico B,10,45987654-3,Maximiliano,Gomez
Septimo Basico B,10,56781234-4,Emilia,Lopez
Septimo Basico B,10,67892345-5,Lucas,Rodriguez
Septimo Basico B,10,78901235-6,Maite,Chavez
Septimo Basico B,10,89012347-7,Javier,Ruiz
Septimo Basico B,10,90123458-8,Olivia,Martinez
Octavo Basico A,10,12349876-9,Emiliano,Silva
Octavo Basico A,10,98764321-1,Valeria,Morales
Octavo Basico A,10,23458967-0,Matias,Perez
Octavo Basico A,10,34567892-2,Abril,Fernandez
Octavo Basico A,10,45987654-3,Santiago,Gomez
Octavo Basico A,10,56781234-4,Daniela,Lopez
Octavo Basico A,10,67892345-5,Antonio,Rodriguez
Octavo Basico A,10,78901235-6,Valentina,Chavez
Octavo Basico A,10,89012347-7,Benjamin,Ruiz
Octavo Basico A,10,90123458-8,Catalina,Martinez
Octavo Basico B,10,12349876-9,Maria,Silva
Octavo Basico B,10,98764321-1,Lucas,Morales
Octavo Basico B,10,23458967-0,Emilia,Perez
Octavo Basico B,10,34567892-2,Alexander,Fernandez
Octavo Basico B,10,45987654-3,Maite,Gomez
Octavo Basico B,10,56781234-4,Nicolas,Lopez
Octavo Basico B,10,67892345-5,Isabella,Rodriguez
Octavo Basico B,10,78901235-6,Benjamin,Chavez
Octavo Basico B,10,89012347-7,Mateo,Ruiz
Octavo Basico B,10,90123458-8,Valeria,Martinez
